,movie,year,imdb,metascore,votes,descriptions,n_imdb
1665,Up in the Air,(I) (2009),7.4,83,303243,"
    Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire.",74.0
1666,The Proposal,(I) (2009),6.7,48,275897,"
    A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.",67.0
1667,The Blind Side,(2009),7.6,53,270657,"
    The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",76.0
1668,Public Enemies,(2009),7.0,70,263719,"
    The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",70.0
1669,Angels & Demons,(2009),6.7,48,255669,"
    Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.",67.0
1670,Law Abiding Citizen,(2009),7.4,34,255631,"
    A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.",74.0
1671,The Twilight Saga: New Moon,(2009),4.7,44,250972,"
    Edward leaves Bella after an attack that nearly claimed her life, and in her depression she falls into yet another paranormal relationship - this time with werewolf Jacob Black.",47.0
1672,Fast & Furious,(2009),6.6,46,246009,"
    Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",66.0
1673,Knowing,(2009),6.2,41,210333,"
    M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.",62.0
1674,The Road,(I) (2009),7.2,64,209839,"
    In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",72.0
1675,Ice Age: Dawn of the Dinosaurs,(2009),6.9,50,207224,"
    When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",69.0
1676,Mr. Nobody,(2009),7.8,63,200027,"
    A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",78.0
1677,The Girl with the Dragon Tattoo,(2009),7.8,76,199470,"
    A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.",78.0
1678,G.I. Joe: The Rise of Cobra,(2009),5.8,32,192136,"
    An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.",58.0
1679,The Ugly Truth,(2009),6.4,28,192124,"
    An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.",64.0
1680,Cloudy with a Chance of Meatballs,(2009),6.9,66,188726,"
    A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.",69.0
1681,"I Love You, Man",(2009),7.0,70,186747,"
    Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",70.0
1682,Coraline,(2009),7.7,80,180503,"
    An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",77.0
1683,Fantastic Mr. Fox,(2009),7.8,83,179393,"
    An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.",78.0
1684,Drag Me to Hell,(2009),6.5,83,178554,"
    A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.",65.0
1685,Orphan,(2009),6.9,42,177611,"
    A husband and wife who recently lost their baby adopt a 9 year-old girl who is not nearly as innocent as she claims to be.",69.0
1686,The Secret in Their Eyes,(2009),8.2,80,175470,"
    A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.",82.0
1687,The Taking of Pelham 123,(2009),6.4,55,175205,"
    Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.",64.0
1688,17 Again,(2009),6.3,48,169031,"
    Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.",63.0
1689,Surrogates,(2009),6.3,45,164148,"
    Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",63.0
1690,Night at the Museum: Battle of the Smithsonian,(2009),6.0,42,163189,"
    Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",60.0
1691,He's Just Not That Into You,(2009),6.4,47,151006,"
    This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.",64.0
1692,Inglourious Basterds,(2009),8.3,69,1146109,"
    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",83.0
1693,Avatar,(2009),7.8,83,1057354,"
    A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",78.0
1694,Up,(2009),8.2,88,859692,"
    Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",82.0
1695,The Hangover,(2009),7.7,73,677138,"
    Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",77.0
1696,District 9,(2009),7.9,81,609414,"
    An extraterrestrial race, forced to live in slum-like conditions on Earth, suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.",79.0
1697,Star Trek,(2009),7.9,82,559456,"
    The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.",79.0
1698,Sherlock Holmes,(2009),7.6,57,553575,"
    Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.",76.0
1699,Zombieland,(2009),7.6,73,467795,"
    A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",76.0
1700,Watchmen,(2009),7.6,56,459684,"
    In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",76.0
1701,500 Days of Summer,(2009),7.7,76,445607,"
    An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",77.0
1702,X-Men Origins: Wolverine,(2009),6.6,40,442781,"
    The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",66.0
1703,Harry Potter and the Half-Blood Prince,(2009),7.6,78,425465,"
    As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",76.0
1704,Transformers: Revenge of the Fallen,(2009),6.0,35,367852,"
    Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",60.0
1705,2012,(I) (2009),5.8,49,331465,"
    A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.",58.0
1706,Terminator Salvation,(2009),6.5,49,323881,"
    In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",65.0
1707,Moon,(2009),7.9,67,315016,"
    Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",79.0
1708,3 Idiots,(2009),8.4,67,306349,"
    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",84.0
1709,Up in the Air,(I) (2009),7.4,83,303243,"
    Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire.",74.0
